Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Year,Term,Course Subject,Course Number,Course Section,Sched Type,A Range,B Range,C Range,D Range,Course,Section
ACCY,,66494,Advanced Topics in Accounting,7,3,5,6,1,3,0,0,0,0,0,0,0,0,3.57,"Urcan, Oktay",2020,SPRING,,,,LCD,,,,,506,
ACCY,,66495,Advanced Topics in Accounting,6,15,11,3,1,1,0,0,0,0,0,0,0,0,3.78,"Urcan, Oktay",2020,SPRING,,,,LCD,,,,,506,
ACCY,,66496,Advanced Topics in Accounting,7,8,8,8,6,1,0,0,0,0,0,0,0,0,3.6,"Urcan, Oktay",2020,SPRING,,,,LCD,,,,,506,
ACCY,,67722,Taxation of Bus Entities A,14,22,13,3,2,1,0,0,0,0,0,0,0,1,3.82,"Donohoe, Michael P",2020,SPRING,,,,ONL,,,,,507,
ACCY,,70681,Taxation of Bus Entities B,12,33,3,2,1,1,0,0,0,0,0,0,0,0,3.91,"Donohoe, Michael P",2020,SPRING,,,,ONL,,,,,507,
ACCY,,58688,Financial Statement Analysis,0,8,12,0,0,2,0,0,0,0,0,0,0,0,3.7,"Fanning, Kirsten B",2020,SPRING,,,,LCD,,,,,517,
ACCY,,63200,Financial Statement Analysis,5,10,10,2,1,0,0,0,0,0,0,0,0,0,3.8,"Fanning, Kirsten B",2020,SPRING,,,,LCD,,,,,517,
ACCY,,63201,Financial Statement Analysis,4,15,0,3,0,0,0,0,0,0,0,0,0,0,3.91,"Li, Yue",2020,SPRING,,,,LCD,,,,,517,
ACCY,,64808,Financial Statement Fraud,26,11,1,1,0,0,0,0,0,0,0,0,0,0,3.97,"Nekrasz, Frank",2020,SPRING,,,,LCD,,,,,518,
ACCY,,64809,Financial Statement Fraud,28,9,0,0,0,0,0,1,0,0,0,0,0,0,3.95,"Nekrasz, Frank",2020,SPRING,,,,LCD,,,,,518,
ACCY,,70066,Multistate Taxation,2,12,5,3,0,0,0,1,0,0,0,0,0,0,3.75,"Hutchens, Matthew",2020,SPRING,,,,LCD,,,,,550,
ACCY,,30438,Partnership Income Taxation,0,4,4,7,9,0,0,0,0,0,0,0,0,0,3.37,"Sternburg, Thomas",2020,SPRING,,,,LCD,,,,,552,
ACCY,,30440,Partnership Income Taxation,0,8,6,9,4,1,0,0,0,0,0,0,0,0,3.52,"Sternburg, Thomas",2020,SPRING,,,,LCD,,,,,552,
